identifier,permno/dscd,region
1572,11574,usa
1573,11575,usa
1574,11576,usa
1575,11577,usa
1576,11578,usa
1577,11579,usa
1578,11580,usa
1579,11581,usa
1580,11582,usa
1581,11583,usa
1582,11584,usa
1583,11585,usa
1584,11586,usa
1585,11587,usa
1586,11588,usa
1587,11589,usa
1588,11590,usa
1589,11591,usa
1590,11592,usa
1591,11593,usa
1592,11594,usa
1593,11595,usa
1594,11596,usa
1595,11597,usa
1596,11598,usa
1597,11599,usa
1598,11600,usa
1599,11601,usa
1600,11602,usa
1601,11603,usa
1602,11604,usa
1603,11605,usa
1604,11606,usa
1605,11607,usa
1606,11608,usa
1607,11609,usa
1608,11610,usa
1609,11611,usa
1610,11612,usa
1611,11613,usa
1612,11614,usa
1613,11615,usa
1614,11616,usa
1615,11617,usa
1616,11618,usa
1617,11619,usa
1618,11620,usa
1619,11621,usa
1620,11622,usa
1621,11623,usa
1622,11624,usa
1623,11625,usa
1624,11626,usa
1625,11627,usa
1626,11628,usa
1627,11629,usa
1628,11630,usa
1629,11631,usa
1630,11632,usa
1631,11633,usa
1632,11634,usa
1633,11635,usa
1634,11636,usa
1635,11637,usa
1636,11638,usa
1637,11639,usa
1638,11640,usa
1639,11641,usa
1640,11642,usa
1641,11643,usa
1642,11644,usa
1643,11645,usa
1644,11646,usa
1645,11647,usa
1646,11648,usa
1647,11649,usa
1648,11650,usa
1649,11651,usa
1650,11652,usa
1651,11653,usa
1652,11654,usa
1653,11655,usa
1654,11656,usa
1655,11657,usa
1656,11658,usa
